,exchange,symbol,open_time_utc,open,high,low,close,volume
2023-03-07 06:06:00+00:00,coinbase,BTCEUR,2023-03-07 06:06:00,21023.45,21023.45,21021.34,21021.34,0.03288282
2023-03-07 06:07:00+00:00,coinbase,BTCEUR,2023-03-07 06:06:00,21023.45,21023.45,21021.34,21021.34,0.0
2023-03-07 06:08:00+00:00,coinbase,BTCEUR,2023-03-07 06:08:00,21020.96,21020.96,21020.96,21020.96,0.00557635
2023-03-07 06:09:00+00:00,coinbase,BTCEUR,2023-03-07 06:09:00,21019.02,21021.29,21019.02,21021.29,0.04469805
2023-03-07 06:10:00+00:00,coinbase,BTCEUR,2023-03-07 06:10:00,21019.54,21021.83,21019.54,21021.83,0.04914118
2023-03-07 06:11:00+00:00,coinbase,BTCEUR,2023-03-07 06:11:00,21022.23,21022.41,21014.54,21014.54,0.11423548
2023-03-07 06:12:00+00:00,coinbase,BTCEUR,2023-03-07 06:11:00,21022.23,21022.41,21014.54,21014.54,0.0
2023-03-07 06:13:00+00:00,coinbase,BTCEUR,2023-03-07 06:11:00,21022.23,21022.41,21014.54,21014.54,0.0
2023-03-07 06:14:00+00:00,coinbase,BTCEUR,2023-03-07 06:14:00,21013.2,21014.47,21013.18,21014.47,0.27331489
2023-03-07 06:15:00+00:00,coinbase,BTCEUR,2023-03-07 06:15:00,21014.52,21016.17,21014.52,21015.15,0.08401327
2023-03-07 06:16:00+00:00,coinbase,BTCEUR,2023-03-07 06:16:00,21017.13,21018.58,21017.13,21018.57,0.11147416
2023-03-07 06:17:00+00:00,coinbase,BTCEUR,2023-03-07 06:17:00,21018.86,21018.86,21013.03,21013.03,0.11323082
2023-03-07 06:18:00+00:00,coinbase,BTCEUR,2023-03-07 06:17:00,21018.86,21018.86,21013.03,21013.03,0.0
2023-03-07 06:19:00+00:00,coinbase,BTCEUR,2023-03-07 06:19:00,21013.76,21013.76,21004.38,21004.38,0.71957376
2023-03-07 06:20:00+00:00,coinbase,BTCEUR,2023-03-07 06:20:00,21014.5,21014.5,21007.77,21007.77,0.00997785
2023-03-07 06:21:00+00:00,coinbase,BTCEUR,2023-03-07 06:20:00,21014.5,21014.5,21007.77,21007.77,0.0
2023-03-07 06:22:00+00:00,coinbase,BTCEUR,2023-03-07 06:22:00,21013.89,21013.89,21008.85,21008.85,0.22379614
2023-03-07 06:23:00+00:00,coinbase,BTCEUR,2023-03-07 06:23:00,21010.55,21013.36,21005.89,21013.36,0.00073089
2023-03-07 06:24:00+00:00,coinbase,BTCEUR,2023-03-07 06:24:00,21007.79,21007.79,21007.79,21007.79,0.00036211
2023-03-07 06:25:00+00:00,coinbase,BTCEUR,2023-03-07 06:25:00,21013.21,21013.21,21007.81,21007.81,0.12997369
2023-03-07 06:26:00+00:00,coinbase,BTCEUR,2023-03-07 06:26:00,21009.95,21009.95,21006.52,21006.52,0.08883847
